,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
0,1,Nikola Jokić,25,DEN,91.0,971.0,1010,0.961,72,34.6,26.4,10.8,8.3,1.3,0.7,0.5660000000000001,0.38799999999999996,0.868,15.6,0.301
1,2,Joel Embiid,26,PHI,1.0,586.0,1010,0.58,51,31.1,28.5,10.6,2.8,1.0,1.4,0.513,0.377,0.8590000000000001,8.8,0.266
2,3,Stephen Curry,32,GSW,5.0,453.0,1010,0.449,63,34.2,32.0,5.5,5.8,1.2,0.1,0.48200000000000004,0.42100000000000004,0.9159999999999999,9.0,0.201
3,4,Giannis Antetokounmpo,26,MIL,1.0,348.0,1010,0.345,61,33.0,28.1,11.0,5.9,1.2,1.2,0.569,0.303,0.685,10.2,0.244
4,5,Chris Paul,35,PHO,2.0,139.0,1010,0.138,70,31.4,16.4,4.5,8.9,1.4,0.3,0.499,0.395,0.934,9.2,0.201
5,6,Luka Dončić,21,DAL,0.0,42.0,1010,0.042,66,34.3,27.7,8.0,8.6,1.0,0.5,0.479,0.35,0.73,7.7,0.163
6,7,Damian Lillard,30,POR,0.0,38.0,1010,0.038,67,35.8,28.8,4.2,7.5,0.9,0.3,0.451,0.391,0.9279999999999999,10.4,0.209
7,8,Julius Randle,26,NYK,0.0,20.0,1010,0.02,71,37.6,24.1,10.2,6.0,0.9,0.3,0.456,0.41100000000000003,0.8109999999999999,7.8,0.14
8,9,Derrick Rose,32,TOT,1.0,10.0,1010,0.01,50,25.6,14.7,2.6,4.2,1.0,0.4,0.47,0.38799999999999996,0.866,3.1,0.11800000000000001
9,10,Rudy Gobert,28,UTA,0.0,8.0,1010,0.008,71,30.8,14.3,13.5,1.3,0.6,2.7,0.675,0.0,0.623,11.3,0.248
10,11,Russell Westbrook,32,WAS,0.0,5.0,1010,0.005,65,36.4,22.2,11.5,11.7,1.4,0.4,0.439,0.315,0.6559999999999999,3.7,0.075
11,12,Ben Simmons,24,PHI,0.0,3.0,1010,0.003,58,32.4,14.3,7.2,6.9,1.6,0.6,0.557,0.3,0.613,6.0,0.153
12,13T,James Harden,31,TOT,0.0,1.0,1010,0.001,44,36.6,24.6,7.9,10.8,1.2,0.8,0.466,0.36200000000000004,0.861,7.0,0.20800000000000002
13,13T,LeBron James,36,LAL,0.0,1.0,1010,0.001,45,33.4,25.0,7.7,7.8,1.1,0.6,0.513,0.365,0.698,5.6,0.179
14,13T,Kawhi Leonard,29,LAC,0.0,1.0,1010,0.001,52,34.1,24.8,6.5,5.2,1.6,0.4,0.512,0.39799999999999996,0.885,8.8,0.23800000000000002
